device_id,device_file,date,window_start,window_end,k1_window,k2_window,detected_battery_dip,sinusoidality_nrmse,sinusoidality_pass_<=30pct,sinusoidality_env_nrmse,sinusoidality_env_pass_<=30pct,frac_points_obs_gt_model_plus_5pct,negative_noise_pass_<=5pct_violations,fraction_low_power_outside_daylight,no_generation_outside_daylight_pass_>=95pct,lambda_day
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-13,2025-05-30,2025-06-13,312.66283574278896,1.796678663780874,2025-06-13 19:58:22.090000,0.27152783323776153,True,0.27152783323776153,True,0.0,True,0.32950191570881227,False,0.006968988616513848
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-14,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,2025-06-14 22:04:56.014000,0.23545196242943914,True,0.23545196242943914,True,0.0,True,1.0,True,0.005570788665185232
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-15,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,2025-06-15 20:21:03.061000,0.23545196242943914,True,0.23545196242943914,True,0.013869625520110958,True,1.0,True,0.007689065405378147
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-16,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,2025-06-16 18:51:07.031000,0.23545196242943914,True,0.23545196242943914,True,0.0,True,1.0,True,0.007243526397718601
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-17,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,,0.23545196242943914,True,0.23545196242943914,True,0.0,True,1.0,True,0.02184180942779211
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-19,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,2025-06-19 20:39:26.147000,0.23545196242943914,True,0.23545196242943914,True,0.0,True,1.0,True,0.008147375947643571
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-20,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,2025-06-20 20:35:41.419000,0.23545196242943914,True,0.23545196242943914,True,0.008339124391938846,True,1.0,True,0.010407250514765397
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-21,2025-06-14,2025-06-21,295.7649247908859,1.5822658471589417,2025-06-21 20:31:01.878000,0.23545196242943914,True,0.23545196242943914,True,0.0034674063800277394,True,1.0,True,0.011337108553130259
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-22,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-22 20:17:12.454000,0.2590131524442564,True,0.2590131524442564,True,0.0,True,1.0,True,0.011218535020873553
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-23,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-23 20:29:02.915000,0.2590131524442564,True,0.2590131524442564,True,0.0027739251040221915,True,1.0,True,0.010205065414253268
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-24,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-24 20:38:17.977000,0.2590131524442564,True,0.2590131524442564,True,0.0006954102920723226,True,1.0,True,0.010094958909061187
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-25,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-25 20:36:28.330000,0.2590131524442564,True,0.2590131524442564,True,0.003453038674033149,True,1.0,True,0.009644185308025834
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-26,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-26 20:29:13.677000,0.2590131524442564,True,0.2590131524442564,True,0.004158004158004158,True,1.0,True,0.00993342692926392
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-27,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-27 19:37:35.265000,0.2590131524442564,True,0.2590131524442564,True,0.0,True,1.0,True,0.00838104321521749
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-28,2025-06-22,2025-06-28,294.36736485659475,1.5727289179796615,2025-06-28 20:22:29.809000,0.2590131524442564,True,0.2590131524442564,True,0.0,True,1.0,True,0.008477024163894543
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-29,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-06-29 19:40:41.223000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.009358600033268938
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-06-30,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-06-30 18:39:39.894000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.0070620844581315715
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-07-01,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-07-01 17:45:52.748000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.00717424825558305
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-07-02,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-07-02 19:37:47.929000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.006920749643154847
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-07-03,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-07-03 18:23:45.639000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.006475961070479826
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-07-04,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-07-04 19:15:41.654000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.007789051612853299
8,bquxjob_22a0183e_197ec64eb48 copy.csv,2025-07-05,2025-06-29,2025-07-05,305.9936322423237,1.5905441658992807,2025-07-05 18:33:48.455000,0.2554272533988999,True,0.2554272533988999,True,0.0,True,1.0,True,0.00716116300719847
